,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Vao,100,EE,1561596326,97,59.1,26.19,54.62,4.94
376,Araouane,0,ML,1561596414,7,18.9,-3.53,99.26,6.24
377,Sokoto,74,NG,1561596580,44,13.06,5.24,88.82,7.36
378,Mackenzie,1,CA,1561596580,25,55.34,-123.09,77.0,9.17
379,Swan Hill,0,AU,1561596581,73,-35.34,143.56,54.08,10.89
380,Pevek,0,RU,1561596330,86,69.7,170.27,33.92,15.77
381,Alcaniz,5,ES,1561596581,66,41.05,-0.13,66.0,1.01
382,Irtyshskiy,7,RU,1561596581,80,58.33,68.13,45.8,4.76
383,Ekibastuz,56,KZ,1561596582,85,51.72,75.32,60.56,6.89
384,Wanaka,0,NZ,1561596582,90,-44.7,169.14,37.99,4.05
385,Compiegne,0,FR,1561596377,88,49.42,2.83,71.6,13.87
386,Balingasay,100,PH,1561596582,83,16.36,119.86,82.7,17.56
387,Nizhniy Kuranakh,33,RU,1561596583,56,58.84,125.49,65.78,5.66
388,Imbituva,98,BR,1561596583,99,-25.23,-50.6,55.16,1.74
389,Gwadar,20,PK,1561596583,81,25.12,62.33,84.14,8.99
390,Zinder,37,NE,1561596584,35,13.81,8.99,89.18,8.52
391,West Fargo,1,US,1561596584,42,46.88,-96.9,86.0,6.93
392,Angoche,21,MZ,1561596584,96,-16.23,39.91,64.34,4.88
393,Doha,0,QA,1561596545,70,25.29,51.53,89.6,4.7
394,Baoro,89,CF,1561596585,96,5.69,15.95,66.32,1.21
395,Pomarla,0,RO,1561596585,82,48.07,26.32,66.2,11.41
396,Lavaltrie,75,CA,1561596585,69,45.88,-73.28,75.2,5.82
397,Buchanan,75,LR,1561596585,94,5.88,-10.05,77.0,6.93
398,Warri,100,NG,1561596561,94,5.52,5.75,74.42,6.42
399,Tefe,26,BR,1561596586,96,-3.35,-64.71,73.7,2.62
400,Correntina,21,BR,1561596586,54,-13.34,-44.63,68.12,3.44
401,Anadyr,90,RU,1561596586,87,64.73,177.51,50.0,17.9
402,Cabedelo,0,BR,1561596587,94,-6.97,-34.84,73.4,5.82
403,Porto-Vecchio,0,FR,1561596587,77,41.59,9.28,78.8,8.05
404,Danville,1,US,1561596587,38,37.82,-122.0,73.99,25.28
405,Egvekinot,100,RU,1561596588,88,66.32,-179.17,39.5,13.73
406,Calama,0,CL,1561596516,18,-22.46,-68.93,53.6,5.82
407,Saint-Francois,0,FR,1561596588,83,46.42,3.91,69.8,3.02
408,Ormara,12,PK,1561596588,89,25.21,64.64,80.0,13.71
409,Severo-Kurilsk,100,RU,1561596368,97,50.68,156.12,40.58,15.93
410,Portland,40,US,1561596322,82,43.66,-70.25,69.01,5.82
411,Kaitong,0,CN,1561596589,55,44.81,123.15,76.76,9.44
412,Pambuhan,100,PH,1561596589,89,13.97,123.08,79.46,9.69
413,Palafrugell,0,ES,1561596590,72,41.92,3.16,72.0,1.59
414,Isangel,100,VU,1561596590,84,-19.55,169.27,76.76,9.33
415,Tiszanana,0,HU,1561596590,88,47.57,20.53,73.4,6.93
416,Ennis,0,IE,1561596591,82,52.84,-8.98,57.2,10.29
417,Porto Novo,20,BR,1561596591,82,-23.68,-45.44,66.2,3.36
418,Yate,90,GB,1561596591,87,51.54,-2.41,57.2,23.04
419,Washington DC.,1,US,1561596435,57,38.9,-77.04,87.01,5.08
420,Catio,16,GW,1561596592,79,11.28,-15.25,80.0,7.72
421,Sisimiut,18,GL,1561596436,85,66.94,-53.67,38.42,31.23
422,Timra,20,SE,1561596592,62,62.49,17.33,53.01,14.99
423,Parnamirim,20,BR,1561596593,83,-5.92,-35.27,75.2,6.93
424,Anqing,88,CN,1561596480,65,30.51,117.04,81.08,1.34
425,Pallipattu,40,IN,1561596593,83,13.34,79.44,80.6,2.24
426,Gunupur,75,IN,1561596593,86,19.07,83.81,77.12,0.25
427,Tibati,100,CM,1561596594,97,6.47,12.63,65.96,1.7
428,Zielona Gora,3,PL,1561596594,65,51.94,15.51,75.99,4.0
429,Guerrero Negro,100,MX,1561596417,82,27.97,-114.04,64.52,13.02
430,Mana,74,NG,1561596349,44,13.03,5.27,88.82,7.36
431,Mwinilunga,0,ZM,1561596594,52,-11.73,24.43,53.0,5.44
432,Kaseda,75,JP,1561596408,88,31.42,130.32,78.8,5.82
433,Santa Vitoria do Palmar,42,BR,1561596595,72,-33.52,-53.37,46.34,6.73
434,Tiarei,75,PF,1561596595,74,-17.53,-149.33,82.4,8.05
435,Mirnyy,34,RU,1561596596,93,56.57,36.46,49.58,3.2
436,Valparaiso,75,US,1561596596,57,41.47,-87.06,86.0,6.49
437,Kouango,45,CF,1561596596,93,4.99,19.98,69.02,0.63
438,Homer,1,US,1561596597,77,59.64,-151.54,73.99,11.41
439,Caucaia,20,BR,1561596597,78,-3.73,-38.66,80.6,8.05
440,Belaya Gora,33,RU,1561596346,22,68.54,146.19,68.3,14.7
441,Honningsvag,100,NO,1561596597,90,70.98,25.97,45.62,23.87
442,Santiago del Estero,0,AR,1561596598,38,-27.8,-64.26,50.84,8.55
443,Ballina,0,IE,1561596385,88,54.11,-9.15,55.0,4.0
444,Maniitsoq,95,GL,1561596598,74,65.42,-52.9,50.12,5.5
445,Chicama,90,PE,1561596372,88,-7.84,-79.15,64.4,6.93
446,Qom,0,IR,1561596425,17,34.64,50.88,79.1,14.54
447,Agar,96,IN,1561596599,70,23.71,76.02,81.98,13.42
448,Benghazi,0,LY,1561596560,74,32.12,20.07,78.38,14.76
449,North Platte,1,US,1561596467,48,41.12,-100.77,87.8,9.17
450,Aitape,57,PG,1561596599,60,-3.15,142.36,85.4,1.52
451,Mbaiki,40,CF,1561596599,94,3.87,17.99,67.94,1.79
452,Nuuk,100,GL,1561596253,93,64.17,-51.74,48.2,14.99
453,Van,0,TR,1561596565,63,38.51,43.37,61.0,4.7
454,Bloemhof,19,ZA,1561596600,67,-27.65,25.61,52.64,17.85
455,Talaya,0,RU,1561596600,72,55.79,84.89,64.4,4.47
456,Half Moon Bay,20,US,1561596396,82,37.46,-122.43,69.01,8.05
457,Komsomolskiy,89,RU,1561596601,83,67.55,63.78,40.76,6.02
458,Santa Fe,0,AR,1561596601,53,-31.62,-60.7,50.0,15.01
459,Souris,75,CA,1561596602,63,46.36,-62.25,62.6,10.29
460,Neiafu,40,TO,1561596602,69,-18.65,-173.98,78.8,9.17
461,Presidencia Roque Saenz Pena,0,AR,1561596422,58,-26.79,-60.44,46.88,5.93
462,Catabola,0,AO,1561596603,40,-12.14,17.29,54.08,0.92
463,Lahaina,90,US,1561596603,88,20.87,-156.68,82.4,10.29
464,Khorixas,74,NA,1561596603,76,-20.37,14.96,51.2,1.52
465,Denpasar,75,ID,1561596478,83,-8.65,115.22,75.2,5.82
466,Angoram,100,PG,1561596604,70,-4.06,144.07,84.68,2.77
467,Saint Anthony,20,US,1561596604,36,43.97,-111.68,78.8,6.93
468,Novaya Ladoga,77,RU,1561596604,99,60.11,32.31,57.0,10.25
469,Severomuysk,100,RU,1561596604,60,56.17,113.57,57.14,1.03
470,Te Anau,9,NZ,1561596392,79,-45.41,167.72,44.72,2.06
471,Kilindoni,45,TZ,1561596605,75,-7.91,39.67,78.74,22.21
472,Ola,16,RU,1561596605,67,59.58,151.3,53.72,7.14
473,Karakol,14,KG,1561596606,50,42.49,78.39,55.52,5.32
474,Bonfim,13,GY,1561596307,70,3.36,-59.84,79.82,13.22
475,Praia da Vitoria,75,PT,1561596243,77,38.73,-27.07,64.4,16.37
476,Medicine Hat,75,CA,1561596542,29,50.04,-110.68,78.8,2.24
477,Buncrana,0,GB,1561596607,92,55.14,-7.45,54.8,13.0
478,Cabinda,2,AO,1561596607,76,-5.56,12.19,73.7,8.59
479,Plerin,55,FR,1561596607,88,48.54,-2.78,64.4,12.75
480,Casablanca,75,MA,1561596607,88,33.6,-7.62,69.8,6.93
481,Jabinyanah,0,TN,1561596608,69,35.03,10.91,77.0,3.36
482,Sibu,75,MY,1561596608,94,2.29,111.83,77.0,4.7
483,Fairview,1,US,1561596411,38,45.54,-122.43,75.2,11.23
484,Hay River,75,CA,1561596256,76,60.82,-115.79,57.2,5.82
485,Cockburn Town,31,TC,1561596391,80,21.46,-71.14,81.98,16.4
486,Tullahoma,1,US,1561596609,78,35.36,-86.21,86.0,3.38
487,Sangar,0,RU,1561596300,45,63.92,127.47,73.34,1.23
488,Lumphat,100,KH,1561596385,96,13.5,106.97,76.76,5.46
489,Churapcha,0,RU,1561596610,37,62.0,132.43,72.62,3.38
490,Ahuimanu,40,US,1561596610,74,21.44,-157.84,80.6,9.17
491,Villa Maria,40,CO,1561596611,63,4.5,-74.09,77.0,9.17
492,Matara,51,BI,1561596611,89,-3.48,29.48,50.66,0.67
493,Touros,75,BR,1561596310,88,-5.2,-35.46,75.2,3.36
494,Bajil,62,ES,1561596611,76,38.23,-2.07,61.0,1.99
495,Evanston,75,US,1561596338,51,42.04,-87.69,84.2,12.75
496,Sao Miguel do Araguaia,16,BR,1561596612,47,-13.28,-50.16,73.16,2.24
497,Paita,0,PE,1561596386,89,-5.09,-81.11,65.24,20.51
498,Dubrovnik,0,HR,1561596612,30,42.65,18.09,86.0,3.36
499,Abaza,81,RU,1561596613,82,52.65,90.1,53.54,1.05
500,Kurumkan,84,RU,1561596613,73,54.33,110.32,54.8,5.5
501,Dongying,82,CN,1561596613,50,37.43,118.67,80.36,4.59
502,Lashio,97,MM,1561596613,99,22.93,97.75,70.82,1.1
503,Yantal,0,RU,1561596614,57,56.85,105.25,66.5,5.17
504,Loa Janan,34,ID,1561596614,86,-0.58,117.09,78.2,4.5
505,Oranjemund,0,ZA,1561596299,77,-28.55,16.43,54.98,9.13
506,Lamu,100,CN,1561596614,96,35.77,102.37,48.68,1.12
507,Werda,63,BW,1561596615,66,-25.27,23.28,55.88,15.39
508,Panzhihua,97,CN,1561596615,83,26.59,101.72,70.1,2.64
509,Bonavista,0,CA,1561596615,86,48.65,-53.11,43.0,1.99
510,Saint-Ambroise,75,CA,1561596616,82,48.56,-71.32,69.01,13.87
511,Byron Bay,40,AU,1561596471,82,-28.65,153.62,68.0,6.93
512,Oltu,17,TR,1561596616,97,40.55,42.0,55.88,2.91
513,Sao Jose da Coroa Grande,80,BR,1561596336,96,-8.9,-35.15,71.54,3.83
514,Yongan,100,CN,1561596616,73,39.7,113.69,67.4,4.34
515,Manta,0,RO,1561596617,72,45.1,24.1,63.26,2.21
516,Rawlins,1,US,1561596617,15,41.79,-107.24,80.6,14.99
517,Furstenwalde,0,DE,1561596617,68,52.37,14.07,72.0,13.87
518,Bilibino,41,RU,1561596429,37,68.06,166.44,59.66,11.61
519,Cabo San Lucas,5,MX,1561596219,31,22.89,-109.91,96.01,11.41
520,Grindavik,90,IS,1561596360,100,63.84,-22.43,51.8,19.46
521,Japura,39,ID,1561596618,93,-0.42,102.29,74.24,2.84
522,Vila,0,IT,1561596619,88,45.18,8.4,84.99,4.7
523,Comodoro Rivadavia,0,AR,1561596340,61,-45.87,-67.48,48.2,17.22
524,Nieuw Amsterdam,40,SR,1561596619,78,5.88,-55.08,80.6,16.49
525,Sargur,100,IN,1561596619,99,11.98,76.42,66.5,3.31
526,Ishigaki,75,JP,1561596620,89,24.34,124.16,84.2,18.34
527,Sao Jose dos Pinhais,75,BR,1561596620,93,-25.53,-49.21,60.01,6.93
528,Longhua,100,CN,1561596620,96,29.21,106.21,73.16,3.18
529,Asuncion,0,PY,1561596525,66,-25.3,-57.63,51.8,4.7
530,Pirojpur,98,BD,1561596621,74,22.58,89.97,85.04,11.25
531,Mpulungu,41,ZM,1561596621,64,-8.77,31.12,58.22,6.49
532,Smolenka,64,PL,1561596621,94,54.15,22.76,66.5,9.28
533,Gimbi,63,ET,1561596622,93,8.81,37.79,54.44,3.33
534,Terney,100,RU,1561596622,95,45.05,136.61,49.94,6.17
535,Goba,40,ET,1561596622,86,7.01,39.97,47.06,3.09
536,Morant Bay,40,JM,1561596179,58,17.88,-76.41,86.0,21.92
537,Nara,75,JP,1561596319,74,34.68,135.8,81.0,3.36
538,Hovd,75,NO,1561596439,76,63.83,10.7,53.6,20.8
539,Sarangani,100,PH,1561596623,72,5.4,125.46,83.06,4.32
540,Sapucaia,54,BR,1561596623,80,-21.99,-42.91,68.12,2.26
541,Luwuk,100,ID,1561596624,95,-0.95,122.79,66.68,4.38
542,Narasaraopet,33,IN,1561596624,67,16.24,80.05,83.96,9.64
543,Oistins,40,BB,1561596399,69,13.07,-59.53,82.4,20.8
544,Plettenberg Bay,0,ZA,1561596624,56,-34.05,23.37,54.8,4.61
545,Rabat,40,MA,1561596625,93,34.02,-6.83,69.01,3.36
546,Shiyan,100,CN,1561596625,82,32.65,110.78,69.02,2.62
547,Lata,30,IN,1561596378,70,30.78,78.62,35.0,2.39
548,Gambela,26,ET,1561596625,92,8.25,34.59,66.32,3.53
549,Muros,20,ES,1561596422,100,42.77,-9.06,64.0,6.98
